"All","Tất Cả"
"New Customer Address Attribute","Thuộc tính địa chỉ khách hàng mới"
"Input Type","Loại đầu vào"
"Lines Count","Tuyến tính"
"Valid range 2-20","Phạm vi hợp lệ 2-20"
"Input Validation","Xác nhận đầu vào"
"None","Không cái nào"
"Minimum Text Length","Chiều dài văn bản tối thiểu"
"Maximum Text Length","Chiều dài văn bản tối đa"
"Maximum File Size (bytes)","Kích thước tệp tối đa (byte)"
"File Extensions","Phần mở rộng tệp"
"Comma separated. Forbidden file extensions: %1.","Comma separated. Forbidden file extensions: %1."
"Maximum Image Width (px)","Chiều rộng hình ảnh tối đa (px)"
"Maximum Image Height (px)","Chiều cao hình ảnh tối đa (px)"
"Input/Output Filter","Bộ lọc đầu vào/đầu ra"
"Minimal value","Giá trị tối thiểu"
"Maximum value","Giá trị tối đa"
"Add to Column Options","Thêm tùy chọn cột"
"Select ""Yes"" to add this attribute to the list of column options in the customer grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách các cột tùy chọn trong mạng lưới khác hàng."
"Use in Filter Options","Sử dụng trong các tùy chọn bộ lọc"
"Select ""Yes"" to add this attribute to the list of filter options in the customer grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách các bộ lọc tùy chọn trong mạng lưới khác hàng."
"Use in  Options","Sử dụng trong các tùy chọn tìm kiếm"
"Use in  Option","Sử dụng trong các tùy chọn tìm kiếm"
"Select ""Yes"" to add this attribute to the list of  options in the customer grid.","Chọn ""Có"" để thêm thuộc tính này vào danh sách các tùy chọn tìm kiếm trong mạng lưới khác hàng."
"front Properties","Thuộc tính front"
"Show on front","Hiển thị trên front"
"Sort Order","Thứ tự sắp xếp"
"Forms to Use In","Để sử dụng trong các mẫu"
"Properties","Thuộc tính"
"Manage Label / Options","Quản lý nhãn / tùy chọn"
"Attribute Information","Thông tin Thuộc tính"
"Visible to Customer","Hiển thị cho khách hàng"
"No","Không"
"Yes","Có"
"Customer Attributes","Thuộc tính Khách hàng"
"Edit Customer Attribute ""%1""","Chỉnh sửa thuộc tính khách hàng ""%1"""
"New Customer Attribute","Thuộc tính khách hàng mới"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Điều này sử dụng nội bộ. Hãy chắc chắn bạn không sử dụng dấu cách hoặc nhiều biểu tượng hơn %1."
"Manage Form Types","Quản lý các loại mẫu"
"New Form Type","Kiểu mẫu mới"
"Edit Form Type ""%1""","Chỉnh sửa kiểu mẫu ""%1"""
"General Information","Thông tin chung"
"-- Please Select --","-- Vui lòng chọn --"
"Based On","Dựa trên"
"Form Label","Mẫu nhãn"
"All s","Tất cả chủ đề"
"For ","Chủ đề"
" View","Xem cửa hàng"
"Form Code","Mẫu mã"
"Form Title","Mẫu tiêu đề"
"General","Chung"
"New Fieldset","Thiết lập trường mới"
"Save","Lưu lại"
"Remove","Loại bỏ"
"Cancel","Hủy bỏ"
"Attributes","Thuộc tính"
"Form Type Information","Thông tin kiểu mẫu"
"Type Code","Loại mã"
"Label","Nhãn"
"","Chủ đề"
"System","Hệ thống"
"No files for upload.","No files for upload."
"Something went wrong.","Something went wrong."
"Page not found.","Page not found."
"Customer","Khách hàng"
"Manage Customer Address Attributes","Quản lý các thuộc tính địa chỉ khách hàng"
"You cannot delete this attribute.","Bạn không thể xóa bỏ thuộc tính này."
"You deleted the customer address attribute.","Bạn đã xoá các thuộc tính địa chỉ khách hàng."
"We can't delete the customer address attribute right now.","Chúng tôi không thể xóa thuộc tính địa chỉ khách hàng ngay bây giờ."
"This attribute no longer exists.","Thuộc tính này không còn tồn tại."
"You cannot edit this attribute.","Bạn không thể chỉnh sửa các thuộc tính này."
"Edit Customer Address Attribute","Chỉnh sửa thuộc tính địa chỉ khách hàng"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"You saved the customer address attribute.","Bạn đã lưu các thuộc tính địa chỉ khách hàng."
"We can't save the customer address attribute right now.","Chúng tôi không thể lưu thuộc tính địa chỉ khách hàng ngay bây giờ."
"Manage Customer Attributes","Quản lý thuộc tính khách hàng"
"You deleted the customer attribute.","Bạn đã xoá các thuộc tính của khách hàng."
"The attribute no longer exists.","Thuộc tính này không còn tồn tại."
"Edit Customer Attribute","Chỉnh sửa thuộc tính khách hàng"
"You saved the customer attribute.","Bạn đã lưu các thuộc tính khách hàng."
"We can't save the form type right now.","Chúng tôi không thể lưu các loại hình ngay bây giờ."
"This system form type cannot be deleted.","Đây là loại hình thức hệ thống không thể xoá."
"The form type has been deleted.","Các loại biểu mẫu đã bị xoá."
"We can't delete the form type right now.","Chúng tôi không thể xoá loại biểu mẫu ngay bây giờ."
"Customer Address Registration","đăng ký địa chỉ Khách hàng"
"Customer Account Address","Địa chỉ tài khoản khách hàng"
"Customer Registration","Khách hàng đăng ký"
"Customer Account Edit","Chỉnh sửa tài khoản khách hàng"
"Admin Checkout","Quản trị thanh toán"
"Use helper with defined EAV entity.","Sử dụng công cụ trợ giúp với định nghĩa EAV thực thể."
"Length Only","Chiều dài chỉ"
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"An attribute with this code already exists.","Một thuộc tính với mã này đã tồn tại."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"The value of Admin must be unique.","The value of Admin must be unique."
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty."
"Attribute code already exists","Attribute code already exists"
"Use Default Value","Sử dụng giá trị mặc định"
"Fieldset Properties","Thuộc tính thiết đặt trường"
"Fieldset Title","Tiêu đề thiết lập thuộc tính"
"Fieldset Code","Mã thiết đặt trường"
"A fieldset with the same code already exists.","A fieldset with the same code already exists."
"This fieldset is not empty!","Trường thiết đặt này trống!"
"Choose Website:","Chọn trang web:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vui lòng xác nhận việc chuyển trang web. Tất cả dữ liệu chưa được lưu sẽ bị mất."
"* Required Fields","* các thông tin bắt buộc"
" Information","Thông tin liên hệ"
"Company","Công ty"
"Phone Number","Số điện thoại"
"Fax","Số Fax"
"Street Address: Line %1","Street Address: Line %1"
"Street Address","Địa chỉ đường"
"Street Address %1","Địa chỉ đường phố %1"
"Please select a region, state or province.","Vui lòng chọn khu vực, bang hay tỉnh."
"This is your default billing address.","Đây là địa chỉ thanh toán mặc định của bạn."
"Use as my default billing address","Sử dụng như địa chỉ thanh toán mặc định của tôi"
"This is your default shipping address.","Đây là địa chỉ vận chuyển mặc định của bạn."
"Use as my default shipping address","Sử dụng như địa chỉ vận chuyển mặc định của tôi"
"Save Address","Lưu địa chỉ"
"Go back","Quay lại"
"Account Information","Thông tin tài khoản"
"Change ","Thay đổi "
"Change Password","Đổi mật khẩu"
"Change  and Password","Thay đổi  và mật khẩu"
"",""
"Current Password","Mật khẩu hiện tại"
"New Password","Mật khẩu mới"
"Password Strength","Độ mạnh mật khẩu"
"No Password","Không có mật khẩu"
"Confirm New Password","Xác nhận Mật khẩu Mới"
"Personal Information","Thông tin cá nhân"
"Sign Up for ","Đăng ký nhận bản tin"
"Address Information","Thông tin địa chỉ"
"Sign-in Information","Thông tin đăng nhập"
"Password","Mật khẩu"
"Confirm Password","Xác nhận mật khẩu"
"Create an Account","Tạo tài khoản"
"Back","Trở lại"
"Upload","Upload"
"Click here or drag and drop to add files.","Click here or drag and drop to add files."
"Customer Address","Địa chỉ khách hàng"
"Default Values","Giá trị mặc định"
"Please specify a finance information website.","Hãy chỉ ra một trang web thông tin tài chính."
"Please specify a valid finance information website.","Hãy chỉ ra một trang web thông tin tài chính hợp lệ."
"A row with this email, website, and finance website combination already exists.","Một hàng với email, trang web này, và sự kết hợp trang web tài chính đã tồn tại."
"Data was imported by %1","Dữ liệu được nhập khẩu bởi %1"
"Reward Points","Điểm thưởng"
"Current customer does not have access to the resource ""%1""","Current customer does not have access to the resource ""%1"""
"Customer id %1 does not exist.","Customer id %1 does not exist."
"Required parameters are missing: %1","Required parameters are missing: %1"
"Customer Address %1 is set as default billing address and can not be deleted","Customer Address %1 is set as default billing address and can not be deleted"
"Customer Address %1 is set as default shipping address and can not be deleted","Customer Address %1 is set as default shipping address and can not be deleted"
"Could not find a address with ID ""%address_id""","Could not find a address with ID ""%address_id"""
"Current customer does not have permission to address with ID ""%address_id""","Current customer does not have permission to address with ID ""%address_id"""
"The current customer isn't authorized.","The current customer isn't authorized."
"Customer with id ""%customer_id"" does not exist.","Customer with id ""%customer_id"" does not exist."
"The account is locked.","Tài khoản này đã bị khóa."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"A customer with the same email address already exists in an associated website.","Địa chỉ email đã đăng ký với hệ thống."
"Provide the current ""password"" to change ""email"".","Provide the current ""password"" to change ""email""."
"Specify the ""currentPassword"" value.","Specify the ""currentPassword"" value."
"Specify the ""newPassword"" value.","Specify the ""newPassword"" value."
"""input"" value should be specified","""input"" value should be specified"
"""model"" value should be specified","""model"" value should be specified"
"Address ""id"" value should be specified","Address ""id"" value should be specified"
"Specify the ""email"" value.","Specify the ""email"" value."
"Specify the ""password"" value.","Specify the ""password"" value."
""" should be specified",""" should be specified"
"Please specify a website.","Hãy chỉ ra một trang web."
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"We found an invalid value in a website column.","Chúng tôi tìm thấy một giá trị không hợp lệ trong một cột trang web."
"Please enter a valid email.","Vui lòng nhập email hợp lệ."
"Please make sure attribute ""%s"" is not empty.","Hãy chắc chắn rằng thuộc tính ""%s"" không bị trống."
"We can't find a customer who matches this email and website code.","Chúng tôi không thể tìm thấy một khách hàng nào phù hợp với email và mã trang web này."
"Customer address id column is not specified","địa chỉ id cột Khách hàng không được chỉ định"
"We can't find that customer address.","Chúng tôi không thể tìm thấy địa chỉ khách hàng đó."
"Please enter a valid region.","Vui lòng nhập một vùng hợp lệ."
"We found another row with this email, website and address ID combination.","Chúng tôi tìm thấy một hàng với sự kết hợp của email, trang web và địa chỉ ID."
"This email is found more than once in the import file."," này được tìm thấy nhiều hơn một lần trong tập tin nhập khẩu."
"Orphan rows that will be skipped due default row errors","Hàng bị bỏ sẽ bị bỏ qua do mặc định hàng lỗi"
"Invalid value in  column (store does not exists?)","Các giá trị không hợp lệ trong cột cửa hàng (cửa hàng không tồn tại?)"
"We can't find that email and website combination.","Chúng tôi không thể tìm thấy sự kết hợp email và trang web."
"Please enter a password with a valid length.","Vui lòng nhập một mật khẩu với chiều dài hợp lệ."
"CSV","CSV"
"Excel XML","Excel XML"
"Segments","Phân đoạn"
"Add Segment","Thêm phân khúc"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"Refresh Segment Data","Làm mới dữ liệu phân khúc"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Edit Segment '%1'","Chỉnh sửa đoạn '%1'"
"New Segment","Phân khúc mới"
"Segment Information","Thông tin phân khúc"
"Conditions","Điều kiện"
"* applicable to visitors and registered customers","* áp dụng cho các khách truy cập và khách hàng đăng ký"
"General Properties","Tổng tài sản"
"Segment Name","Tên phân khúc"
"Description","Mô tả"
"Assigned to Website","Được gán cho trang web"
"Status","Trạng thái"
"Active","Kích hoạt"
"Inactive","Không hoạt động"
"Apply To","Áp dụng cho"
"Visitors and Registered Customers","Khách tham quan và khách hàng đã đăng ký"
"Registered Customers","Khách hàng đã đăng ký"
"Visitors","Số lượt truy cập"
"Please save this information to specify segmentation conditions.","Xin vui lòng lưu các thông tin này để xác định các điều kiện phân khúc."
"Matched Customers (%1)","Khách hàng phù hợp (%1)"
"ID","ID"
"Segment","Phân khúc"
"Website","Trang web"
"Customer Segment Report","Báo cáo phân khúc khách hàng"
"Customer Segment Report '%1'","Báo cáo phân khúc khách hàng '%1'"
"Customer Segments Report","Báo cáo phân khúc khách hàng"
"Back","Trở lại"
"From","Từ"
"To","Đến"
"Please request the correct customer segment.","Xin vui lòng yêu cầu phân khúc khách hàng chính xác."
"You deleted the segment.","Bạn đã xoá các phân đoạn."
"Unable to delete the segment.","Không thể xóa các phân đoạn."
"Customer Segments","Phân đoạn khách hàng"
"Edit Segment","Chỉnh sửa phân khúc"
"Segment Customers matching is added to messages queue.","Segment Customers matching is added to messages queue."
"Segment Customers matching error.","Segment Customers matching error."
"You saved the segment. Customers matching is added to the messages queue.","You saved the segment. Customers matching is added to the messages queue."
"We can't save the segment right now.","Hiện tại không lưu được phân khúc khách hàng này."
"","Báo cáo"
"Customers","Khách hàng"
"Viewing combined ""%1"" report from segments: %2.","Xem báo cáo kết hợp ""%1"" từ các phân đoạn: %2."
"Details","Chi tiết"
"The Customer Segment data has been refreshed.","Dữ liệu phân đoạn khách hàng đã được làm mới."
"Union","Liên minh"
"Intersection","Đoan giao nhau"
"All","Tất Cả"
"Specified","Quy định"
"Applies to All of the Specified Customer Segments","Áp dụng cho tất cả các phân đoạn khách hàng được chỉ định"
"Apply to the Selected Customer Segments","Áp dụng cho các phân đoạn khách hàng đã chọn"
"contains","bao gồm"
"does not contains","không bao gồm"
"Matching Customers of Segment %1 is added to messages queue.","Matching Customers of Segment %1 is added to messages queue."
"Unknown operator specified.","Không biết nhà điều hành đã được chỉ định."
"Something went wrong while processing the request.","Something went wrong while processing the request."
"Conditions Combination","Kết hợp Điều kiện"
"Customer Address","Địa chỉ khách hàng"
"Product List","Danh sách sản phẩm"
"Product History","Lịch sử sản phẩm"
"Products","Các sản phẩm"
"Wrong ""ApplyTo"" type","Dạng ""Áp dụng"" sai"
"Customer","Khách hàng"
"If Customer Addresses match %1 of these Conditions:","Nếu địa chỉ khách hàng phù hợp với %1 các điều kiện sau:"
"Address Attributes","Thuộc tính địa chỉ"
"Customer Address %1","Địa chỉ khách hàng %1"
"Default Address","Địa chỉ mặc định"
"Billing","Thanh toán"
"","Vận chuyển"
"Customer Address %1 Default %2 Address","Địa chi khách hàng %1 Địa chỉ mặc định %2"
"Has State/Province","Có tiểu bang/tỉnh"
"If Customer Address %1 State/Province specified","Nếu khách hàng địa chỉ %1 bang/tỉnh được quy định"
"has","có"
"does not have","không có"
"exists","tồn tại"
"does not exist","không tồn tại"
"Customer %1","Khách hàng %1"
" Subscription","Đăng ký nhận bản tin"
"Customer is %1 to newsletter.","Khách hàng là %1 để nhận bản tin."
"subscribed","Đã đăng kí theo dõi"
"not subscribed","không đăng ký"
"Customer   Amount %1 %2:","Cửa hàng khách hàng tín dụng số tiền %1 %2:"
"Date Range","Phạm vi ngày"
"Open Chooser","Chọn mở"
"Date Range %1 within %2","Phạm vi ngày %1 trong %2"
"If Order Addresses match %1 of these Conditions:","Nếu địa chỉ để phù hợp với %1 các điều kiện sau:"
"Order Address Attributes","Thứ tự thuộc tính địa chỉ"
"Order Address %1","Thứ tự địa chỉ %1"
"Address Type","Loại địa chỉ"
"Order Address %1 a %2 Address","Thứ tự địa chỉ %1 địa chỉ %2"
"Order Status","Trạng thái đơn hàng"
"Any","Bất kỳ"
"Order Status %1 %2:","Tình trạng đơn đặt hàng %1 %2:"
"Product Attributes","Thuộc tính sản phẩm"
"Product %1","Sản phẩm %1"
"Date Ranges","Phạm vi ngày"
"viewed","Đã xem"
"ordered","Đã đặt hàng"
"was","được"
"was not","không"
"If Product %1 %2 and matches %3 of these Conditions:","Nếu sản phẩm %1 %2 và phù hợp với %3 trong các điều kiện sau:"
"Wish List","Danh sách yêu thích"
"found","đã tìm thấy"
"not found","không tìm thấy"
"If Product is %1 in the %2 with %3 of these Conditions match:","Nếu sản phẩm là %1 ở %2 với %3 trong những điều kiện phù hợp:"
"Order Address","Thứ tự địa chỉ"
" Amount","Số lượng bán hàng"
"Number of Orders","Số lượng đơn đặt hàng"
"Purchased Quantity","Số lượng mua"
"","Doanh số"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 trong đó %5 trong những điều kiện phù hợp:"
"Average","Trung bình"
"If Customer Segment %1 %2","Nếu khách hàng phân đoạn %1 %2"
"matches","phù hợp"
"does not match","không phù hợp"
"is one of","là một trong"
"is not one of","không phải là một trong"
"Shopping Cart Total","Giỏ hàng tổng cộng"
"Subtotal","Tổng phụ"
"Grand Total","Tổng số"
"","Thuế"
"Gift Card","Thẻ quà tặng"
"Shopping Cart %1 Amount %2 %3:","Giỏ hàng mua sắm %1 tổng số %2 %3:"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
"Number of Cart Line Items","Số lượng các chi tiết đơn hàng Giỏ hàng"
"Number of Shopping Cart Line Items %1 %2:","Số lượng dòng sản phẩm trong giỏ hàng %1 %2:"
"Products Quantity","Số lượng sản phẩm"
"Shopping Cart Products Qty %1 %2:","Số lượng sản phẩm trong giỏ hàng %1 %2:"
"equals or greater than","bằng hoặc lớn hơn"
"equals or less than","bằng hoặc ít hơn"
"greater than","lớn hơn"
"less than","nhỏ hơn"
"Up To Date","Đến nay"
"Period %1 %2 Days Up To Date","Thời gian %1 ngày %2 đến ngày"
"Customer segment updated successfully.","Customer segment updated successfully."
"Sorry, something went wrong during customer segment update. Please see log for details.","Sorry, something went wrong during customer segment update. Please see log for details."
"Customer Segment: %1","Customer Segment: %1"
"Customer Segment","Phân đoạn khách hàng"
"Use in Customer Segment","Sử dụng trong phân khúc khách hàng"
"Please choose a condition to add.","Vui lòng chọn một điều kiện để thêm."
"Enable Customer Segment Functionality","Cho phép chức năng phân khúc khách hàng"
"Refresh Data","Làm mới dữ liệu"
"Manage Segments","Quản lý phân đoạn"
"All Websites","Tất cả trang Web"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Tên sản phẩm"
"",""
"Group","Nhóm"
"Phone","Điện thoại"
"ZIP","SỐ ZIP"
"Country","Quốc gia"
"State/Province","Bang/tỉnh"
"Customer Since","Khách hàng kể từ"
"View Combined Report","Xem báo cáo kết hợp"
"Set","Cài đặt"
"AVS result code","Kết quả mã AVS"
"CVN result code","Kết quả mã CVN"
"Card number","Số thẻ"
"Card expiry date","Hạn sử dụng thẻ"
"Decision","Quyết định"
"Transaction ID","ID giao dịch"
"Risk Score","Điểm rủi ro"
"Risk Factor","Yếu tố mạo hiểm"
"Reference number","Số tham chiếu"
"Excessive address change. The customer changed the billing address two or more times in the last six months","Quá nhiều địa chỉ thay đổi. Khách hàng thay đổi địa chỉ thanh toán hai hoặc nhiều lần trong sáu tháng qua"
"Card BIN or authorization risk. Risk factors a e related to credit card BIN and/or card authorization checks","Thẻ BIN hoặc ủy quyền nguy cơ. Yếu tố nguy cơ một điện tử liên quan đến thẻ tín dụng BIN và/hoặc thẻ ủy quyền kiểm tra"
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Số lượng tài khoản số cao. Khách hàng sử dụng thẻ tín dụng nhiều hơn sáu con số trong sáu tháng qua"
" address impact. The customer uses a free email provider, or the email address is risky","Tác động đến địa chỉ email. Khách hàng sử dụng một nhà cung cấp email miễn phí, hoặc địa chỉ email là nguy hiểm"
"Positive list. The customer is on your positive list. Decision Manager  Guide Using the Simple Order AP  January 201 10 Appendix  Information and Reply Code","Danh sách tích cực. Khách hàng ở trong danh sách tích cực của bạn. Hướng dẫn phát triển quyết định quản lý, sử dụng phụ lục thông tin đơn hàng AP Tháng một đơn giản 201 10  và mã số trả lời"
"Negative list. The account number, street add ess, email address, or IP address for this order appears on your negative list","Danh sách tiêu cực. Số tài khoản, đường thêm ess, địa chỉ email, hoặc địa chỉ IP cho các đơn đặt hàng này xuất hiện trên danh sách của bạn tiêu cực"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Vị trí địa lý mâu thuẫn.  tên miền của khách hàng, số điện thoại, địa chỉ thanh toán của Đức, địa chỉ giao hàng, hoặc địa chỉ IP là đáng ngờ"
"Excessive name changes. The customer changed the name two or more times in the last six months","Thay đổi quá nhiều tên. Khách hàng đã đổi tên thành hai hoặc nhiều lần trong sáu tháng qua"
"Internet inconsistencies. The IP address  nd email domain are not consistent with the billing address","Internet không nhất quán. Địa chỉ IP và email tên miền là không phù hợp với địa chỉ thanh toán"
"Nonsensical input. The customer name and address fields contain meaningless words or language","Đầu vào vô nghĩa. Tên và địa chỉ của khách hàng có chứa từ ngữ hoặc ngôn ngữ vô nghĩa"
"Obscenities. The customer’s input contains obscene words","Sự tục tĩu. Đầu vào của khách hàng chứa các từ tục tĩu"
"Identity morphing. Multiple values of an  dentity element are linked to a value of a different identity element. For example, m ltiple phone numbers are linked to a single account number","Danh tính kỹ xảo. Nhiều giá trị của một nguyên tố xác định được liên kết với một giá trị của một phần tử nhận dạng khác nhau. Ví dụ, nhiều số điện thoại được liên kết với một số tài khoản"
"Phone inconsistencies. The customer’s phone number is suspicious","Điện thoại không nhất quán. Số điện thoại của khách hàng là đáng ngờ"
"Risky order. The transaction, customer, and merchant information show multiple high-risk correlations","Đơn hàng nguy hiểm. Thông tin giao dịch, khách hàng và thương gia hiển thị nhiều mối tương quan nhiều rủi ro"
"Time hedge. The customer is attempting a purchase outside of the expected hours","Thời gian hàng rào. Khách hàng đang cố gắng mua hàng ngoài giờ dự kiến"
"Unverifiable address. The billing or shipping address cannot be verified","Địa chỉ chưa được kiểm chứng. Địa chỉ thanh toán hoặc vận chuyển không được xác minh"
"Velocity. The account number was use  many times in the past 15 minutes","Nhanh chóng. Số tài khoản là sử dụng nhiều lần trong quá khứ 15 phút"
"Marked as suspect. The billing or shipping address is similar to an address previously marked as suspect","Được đánh dấu nghi ngờ. Thanh toán hoặc địa chỉ vận chuyển là tương tự như một địa chỉ trước đó được đánh dấu nghi ngờ"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Đặt hàng Quà tặng. Địa chỉ đường phố, thành phố, tiểu bang hoặc quốc gia của thanh toán và vận chuyển địa chỉ không tương quan"
"Invalid value. Because the request contains an unexpected value, a default value was substituted. Although the transact on can still be processed, examine the request carefully for abnormalities in the order","Giá trị không hợp lệ. Vì yêu cầu có chứa một giá trị bất ngờ, một giá trị mặc định đã được thay thế. Mặc dù giao dịch trên vẫn có thể được xử lý, kiểm tra các yêu cầu một cách cẩn thận cho bất thường theo thứ tự"
"Unknown factor. Please contact  customer service","Yếu tố chưa được xác định. Xin vui lòng liên hệ với dịch vụ khách hàng "
" Token Build Error.","Hệ thống mã thanh toán thông báo lỗi."
"Your payment has been declined. Please try again.","Thanh toán của bạn đã bị từ chối. Xin vui lòng thử lại."
"CC type field should be provided","Loại CC cần được cung cấp"
"Gateway validation error","Lỗi soát hợp thức đường vào"
"Authorize","Ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Risk Factor Q","Yếu tố nguy hiểm Q"
"Risk Factor V","Yếu tố nguy hiểm V"
"Place Order","Đặt hàng"
"",""
"Enabled","Cho phép"
" Action","Hành động thanh toán"
"Title","Tiêu đề"
"Merchant ID","Mã Nhận Diện Người Bán"
"Transaction Key","Mã Giao Dịch"
"Profile ID","ID cấu hình"
"Access Key","Chìa khóa truy cập"
"Secret Key","Chìa khóa bí mật"
"New Order Status","Trạng thái đơn hàng mới"
"Test Mode","Chế độ dùng thử"
"Debug","Sửa Lỗi"
" Card Types","Các Loại Thẻ Tín Dụng"
" from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
" from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Minimum Order Total","Giá Trị Đơn Hàng Tối Thiểu"
"Maximum Order Total","Giá Trị Đơn Hàng Tối Đa"
"Sort Order","Thứ tự sắp xếp"
"Authorize Only","Chỉ ủy quyền"
"Webhook URL","Webhook URL"
"Webhook URL should be set in your  account as Transaction Response Page.","Webhook URL should be set in your  account as Transaction Response Page."
"Is admin panel works on the different domain?","Is admin panel works on the different domain?"
"Admin Profile ID","Admin Profile ID"
"Admin Access Key","Admin Access Key"
"Admin Secret Key","Admin Secret Key"
"Admin Webhook URL","Admin Webhook URL"
"The credit card type field needs to be provided. Select the field and try again.","The credit card type field needs to be provided. Select the field and try again."
"Import failed: %1","Import failed: %1"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 does not implement %2","%1 does not implement %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","File app/etc/%1 can't be read. Please check if it exists and has read permissions."
"There are no sensitive configurations to fill","There are no sensitive configurations to fill"
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"A configuration with this path does not exist or is not sensitive","A configuration with this path does not exist or is not sensitive"
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"Wrong logger interface specified.","Wrong logger interface specified."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
"Wrong type specified: '%1'","Wrong type specified: '%1'"
"Wrong queue type specified.","Wrong queue type specified."
"Compilation from source: ","Compilation from source: "
"Wrong deploy strategy type: %1","Wrong deploy strategy type: %1"
"Some error","Có lỗi xảy ra"
"some message","some message"
"Exception","Exception"
"Patch %1 has been successfully generated.","Patch %1 has been successfully generated."
"Template hints are %status","Template hints are %status"
"Format for IDE '%1' is not supported","Định dạng cho IDE '%1' không được hỗ trợ"
"Client side compilation doesn't work in production mode","Client side compilation doesn't work in production mode"
"Client side less compilation","Phía khách hàng ít tổng hợp hơn"
"Server side less compilation","Phía máy chủ ít tổng hợp hơn"
"Magento was installed with a table prefix. Please re-install without prefix.","Magento was installed with a table prefix. Please re-install without prefix."
"uration Exception Message","uration Exception Message"
"The ""%1.xml"" file doesn't exist.","The ""%1.xml"" file doesn't exist."
"Frontend Development Workflow","Quy trình làm việc phát triển front-end"
"Workflow type","Loại hình công việc"
"Modifying this configuration has no effect in production mode.","Modifying this configuration has no effect in production mode."
" Client Restrictions","Giới hạn tính năng khách hàng của nhà phát triển"
"Allowed IPs (comma separated)","Cho phép IP (phân cách bằng dấu phẩy)"
"Leave empty for access from any location.","Để trống để cho phép truy cập từ vị trí bất kỳ."
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Tùy chọn này cho phép DHL để tối ưu hóa chi phí vận chuyển bằng cách chia tách đơn đặt hàng nếu nó vượt quá %1 %2."
"Wrong Content Type","Loại nội dung sai"
"Pounds","Bảng Anh"
"Kilograms","Kg"
"Inches","Inch"
"Centimeters","Cm"
"inch","inch"
"cm","cm"
"Height","Chiều cao"
"Depth","Chiều sâu"
"WIDTH","ĐỘ RỘNG GIÀY"
"WIDTH:","ĐỘ RỘNG GIÀY"
"Width","ĐỘ RỘNG GIÀY"
"Regular","Thông thường"
"Specific","đặt biệt"
"Easy shop","Cửa hàng dễ dàng"
"Sprintline","đường in"
"Secureline","đường an toàn"
"Express easy","Express dễ dàng"
"Europack","Europack"
"Break bulk express","Phá vỡ khối lượng lớn nhanh chóng"
"Medical express","Chuyển thư y tế"
"Express worldwide","Nhận trên toàn thế giới"
"Express 9:00","Nhận 9:00"
"Express 10:30","Nhận 10:30"
"Domestic economy select","Chọn nền kinh tế trong nước"
"Economy select","Chọn nền kinh tế"
"Domestic express 9:00","Domestic express 9:00"
"Domestic express","Chuyển thư Trong nước"
"Others","Khác"
"Globalmail business","Kinh doanh thư toàn cầu"
"Same day","Cùng một ngày"
"Express 12:00","Nhận 12:00"
"Express envelope","Nhận phong bì"
"Domestic express 12:00","Domestic express 12:00"
