(LogOut),(Keluar)
Please enter a valid email address (Ex: johndoe@domain.com),Mohon masukkan alamat email yang valid (Contoh: johndoe@domain.com)
The password can't begin or end with a space. Verify the password and try again.,Kata sandi tidak boleh diawali atau diakhiri dengan spasi. Verifikasi kata sandi dan coba lagi.
Your coupon was successfully applied.,Kupon Anda berhasil digunakan.
"You're Almost There","Anda Hampir Selesai"
"Store Locator","Lokasi Toko"
"My Account ","Akun Saya"
"Hello %name,","Halo %name,"
"Hello %customer_name,","Halo %customer_name,"
"Welcome! Your Onitsuka Tiger registration is almost complete. Click the button below to confirm your email address and you’ll be all set.","Selamat datang! Pendaftaran Onitsuka Tiger Anda hampir selesai. Klik tombol di bawah untuk mengonfirmasi alamat email dan akun Anda akan siap!"
"Returns Information","Informasi Pengembalian"
"Shipping Information","Informasi Pengiriman"
"Confirm Email Address","Konfirmasi Alamat Email"
"Reset Your Password","Ubah Kata Sandi Anda"
"Reset your password","Ubah Kata Sandi Anda"
"Reset My Password","Ubah kata sandi"
"We have received a request to reset the password for your Onitsuka Tiger account. To proceed, please click the button below. This temporary link will expire in 24 hours. Please be sure to change it once you’re logged in. If you did not request a password reset, you can safely ignore this email.","Kami telah menerima permohonan untuk mengubah kata sandi untuk akun Onitsuka Tiger Anda. Untuk melanjutkan, silakan klik tombol di bawah ini. Tautan ini akan kadaluwarsa dalam waktu 24 jam. Pastikan untuk mengubah kata sandi Anda segera setelah masuk ke tautan. Jika Anda tidak melakukan permohonan perubahan kata sandi, maka mohon abaikan email ini."
"Welcome! Get 10% Off Your First Purchase Here","Selamat Datang! Dapatkan Diskon 10% Untuk Pembelian Pertama Anda Disini!"
"THANK YOU FOR SIGNING UP","TERIMA KASIH SUDAH MENDAFTAR"
"You will now receive latest news, promotions and offers from us. Additionally, get 10% off your first purchase by using this discount code upon checkout","Anda sekarang akan menerima berita, promosi, dan penawaran terbaru dari kami. Selain itu dapatkan diskon sebesar 10% untuk pembelian pertama Anda dengan menggunakan kode ini saat checkout"
"Voucher code is valid for 30 days upon receiving this email.","Kode voucher berlaku selama 30 hari setelah Anda menerima email ini"
"Shop Now","Belanja Sekarang"
"You've got a new password","Anda memiliki kata sandi baru"
"Log In","Masuk"
"We're sending you this message to confirm that you have successfully changed your password.","kami mengirim Anda pesan ini untuk mengonfirmasi bahwa Anda telah berhasil mengubah kata sandi."
"Onitsuka Tiger Order Placement %increment_id","Penempatan Pesanan Onitsuka Tiger Anda %increment_id"
"Your Order has been accepted","Pesanan Anda Telah Diterima"
'Please add <a href="mailto:%store_email">%store_email</a> to your email address book so all Onitsuka Tiger notifications are received.','Mohon tambahkan <a href="mailto:%store_email">%store_email</a> ke alamat kontak email Anda sehingga semua notifikasi Onitsuka Tiger dapat diterima.'
"Order Total:","Total Pemesanan:"
"Postal Code:","Kode Pos:"
"Mobile:","Handphone:"
"Price","Harga"
"Please add <a href=""mailto:%store_email"">%store_email</a> to your email address book so all Onitsuka Tiger notifications are received.","Mohon tambahkan <a href=""mailto:%store_email"">%store_email</a> ke alamat kontak email Anda sehingga semua notifikasi Onitsuka Tiger dapat diterima."
"Thank you for your order. We are currently processing all your information so we can get your product(s) our to you as soon as possible.","Terima Kasih atas pesanan Anda. Kami sedang memproses semua informasi Anda untuk pengiriman produk sesegera mungkin."
"For Home Delivery orders, you will receive an additional email once your order has been shipped.","Untuk pesanan dengan metode Pengiriman ke Rumah, Anda akan menerima email tambahan setelah pesanan dikirim."
"In the event we are not able to fulfill item(s) in your order due to stock unavailability, you will receive an additional email regarding cancellation of those item(s) we are unable to fulfill."," Jika kami tidak dapat memenuhi produk dalam pesanan Anda karena ketidakseterdiaan stok, maka Anda akan menerima email mengenai pembatalan produk yang tidak dapat kami penuhi."
"If you have any additional questions or concerns, please feel free to contact us at <a href=""mailto:%store_email"">%store_email</a>.","Apabila Anda memiliki pertanyaan, silakan hubungi kami di <a href=""mailto:%store_email"">%store_email</a>."
"Your Order has been Shipped","Pesanan Anda Telah Dikirim"
"Track your order here","Lacak pesanan Anda disini"
"Your order has been processed and your Onitsuka Tiger merchandise is on its way.","Pesanan Anda telah diproses dan produk Onitsuka Tiger Anda sedang dalam perjalanan."
"If you ordered multiple items, they may ship separately.","Jika Anda memesan beberapa produk, ada kemungkinan produk tersebut dapat dikirimkan secara terpisah."
"You will receive additional email(s) once each item has been shipped.","Anda akan menerima email  setelah tiap produk dikirimkan."
"Your Onitsuka Tiger order has been delivered","Pesanan Onitsuka Tiger Anda telah diterima"
"Your Order has been delivered","Pesanan Anda Telah Diterima"
"We are pleased to inform that the above item(s) in your order %increment_id have been delivered.","Degan senang hati kami informasikan bahwa produk dalam pesanan Anda %increment_id telah terkirim."
"Home Delivery","Pengiriman ke Rumah"
"Onitsuka Tiger Refund Confirmation %increment_id","Konfirmasi Pengembalian Dana Onitsuka Tiger %increment_id"
"Refund Amount:","Jumlah Pengembalian Dana:"
"We have completed refunds.","Kami telah menyelesaikan pengembalian dana."
"We have processed the refunds to the payment method used on the original purchase and the amount will include the cost of the product and any tax applied.","Kami telah memproses pengembalian dana ke metode pembayaran yang digunakan pada pembelian awal dan jumlahnya akan mencakup biaya produk dan pajak apapun yang dikenakan."
"However, refund times are not guaranteed as shipments are handled by third parties and your bank or credit card company may require additional period of time to process your refund and for the refund to be reflected in your account. We therefore require you to allow us at least 14 working days in total to receive and process your returns.","Namun, waktu pengembalian dana tidak dijamin karena pengiriman ditangani oleh pihak ketiga dan bank atau perusahaan kartu kredit Anda. Mungkin membutuhkan waktu tambahan untuk pengembalian dana. Oleh karena itu kami meminta pelanggan untuk mengizinkan kami setidaknya dalam kurun 14 hari kerja untuk menerima dan memproses pengembalian."
"Tracking Number:","Nomor Pengiriman:"
"Credit Memo: %creditmemo_id","Memo Kredit: %creditmemo_id"
"Return Method:","Metode Pengembalian:"
"RMA Number:","Nomor RMA:"
"Return Method: Postal Returns","Metode Pengembalian: Pengembalian Melalui Pos"
"Your Onitsuka Tiger order has been shipped %order_id","Pesanan Onitsuka Tiger Anda telah dikirim"
"(Log Out)","(Keluar)"
"<a class=""back-link"" href=""%1"">Continue Shopping</a>","<a class=""back-link"" href=""%1"">Lanjutkan Belanja</a>"
"Buy All","Beli Semua"
"Buy All Selected","Beli Semua Pilihan"
"Buy now","Beli Sekarang"
"Contact Information","Informasi Kontak"
"Create New Address","Buat Alamat Baru"
"Current password","Kata Sandi Saat Ini"
"Current Password","Kata Sandi Saat Ini"
"New Password","Kata Sandi Baru"
"Save","Simpan"
"Category","Kategori"
"Clothing","Pakaian"
"Street Address","Alamat"
"Size","Ukuran"
"Color","Warna"
"I would like to receive communications from ONITSUKA TIGER - including for exclusive member services, events, and gear. I have read, understood and agreed to the applicable <a href='%1'>Privacy Policy.</a>","Saya ingin menerima komunikasi dari ONITSUKA TIGER - termasuk untuk layanan, event, dan perlengkapan eksklusif anggota. Saya telah membaca, memahami, dan menyetujui ketentuan yang berlaku di <a href='%1'>Kebijakan Privasi.</a>"
"Popularity","Popularitas"
"Position","Posisi"
"I have read the <a href=""%1"">Onitsuka Tiger terms and conditions</a> and I agree with it.","Saya telah membaca <a href=""%1"">Syarat dan Ketentuan Onitsuka Tiger</a> dan saya menyetujuinya."
"Quantity","Jumlah"
"Search Results","Hasil pencarian"
"Store Detail","Detil Toko"
"View Store Details","Lihat Detil Toko"
"Get Directions","Dapatkan Petunjuk"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Anda menambahkan %1 ke <a href=""%2"">keranjang belanja Anda</a>."
"Adding...","Menambahkan.."
"Added","Ditambahkan"
"E-mail Address","Alamat E-mail"
"Save and Continue","Simpan dan Lanjutkan"
"Courier Name:","Nama Kurir:"
"Dispatch Date:","Tanggal Pengiriman:"
"Shipment Status:","Status Pengiriman:"
"Status Updated Date:","Tanggal Pembaruan Status:"
"Unit Price:","Harga Unit:"
"View and Edit Cart","Lihat dan Ubah Keranjang"
"You have no items in your wishlist. ","Anda tidak memiliki produk dalam daftar keinginan Anda. "
"Start adding!","Mulai tambahkan!"
You must confirm your account. Please check your email for the confirmation link or <a href='%1'>click here</a> for a new link.,Anda harus mengkonfirmasi akun Anda. Silakan periksa email Anda untuk tautan konfirmasi atau <a href='%1'>klik di sini</a> untuk tautan baru.
"A customer with the same email address already exists in an associated website.","Pelanggan dengan alamat email yang sama sudah ada di situs web terkait."
"Hi %1","HAI %1"
"on ","pada "
"Language","Bahasa"
"Please check your email for confirmation key.","Silakan periksa email untuk kode konfirmasi."
"This email does not require confirmation.","Email ini tidak memerlukan konfirmasi."
"Back to Sign In","Kembali Ke Masuk"
"Please enter your email below and we will send you the confirmation link.","Silakan masukkan email Anda di bawah ini dan kami akan mengirimkan tautan konfirmasi."
"Send confirmation link","Kirim link konfirmasi"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Akun ini tidak dikonfirmasi. <a href=""%1"">Klik disini</a> untuk mengirim ulang email konfirmasi."
"Items %1 to %2 of %3 total","Produk %1 ke %2 dari %3 total"
"%1 for ""%2"".","%1 untuk ""%2""."
"Are you sure you want to remove all items from your shopping cart?","Apakah Anda yakin ingin menghapus produk ini dari keranjang belanja?"
"Order date:","Tanggal pemesanan:"
"SELECT DELIVERY METHOD","PILIH METODE PENGIRIMAN"
"Please select a store to continue.","Silakan pilih toko untuk melanjutkan."
"Use my current location","Gunakan lokasi saya saat ini"
"Available in %1 Stores","Tersedia di Toko %1"
"Please provide the details of the person collecting the order. We will send the email when the order is ready to collect.","Harap berikan detil data dari orang yang akan mengambil pesanan. Kami akan mengirimkan email ketika pesanan Anda siap untuk diambil."
"Success, Credit card transaction is successful","Berhasil, transaksi dengan kartu kredit berhasil"
"Success, transaction is found","Berhasil, transaksi ditemukan"
"Type in the city or postcode","Masukkan nama kota atau kode pos"
"Picked By Customer","Diambil oleh Pelanggan"
"-- --Select State-- --","-- --PIlih Kabupaten-- --"
"Please select a city.","Silakan pilih kota"
"Please select a district.","Silakan pilih wilayah"
"Sorry, no quotes are available for this order at this time","Maaf, tidak ada informasi yang tersedia untuk pesanan ini pada saat ini"
"Ready To Pickup","Siap Dijemput"
"Ready To Pickup on","Siap Dijemput pada"
"Siap Dijemput on","Siap Dijemput pada"
"SEE MORE","LIHAT SELENGKAPNYA"
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","Metode pengiriman tidak dapat dipilih pada saat keranjang kosong. Masukkan produk ke keranjang dan coba lagi.",module,Magento_Checkout
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","Metode pengiriman tidak dapat dipilih pada saat keranjang kosong. Masukkan produk ke keranjang dan coba lagi.",module,Magento_Quote
The shipping information was unable to be saved. Error: "Invalid address id ",Informasi pengiriman tidak dapat disimpan. Kesalahan: “Alamat tidak sesuai”
"shipment details","detil pengiriman"
"Shipment Details","Detil Pengiriman"
"Subtotal (Inclusive of VAT)","Subtotal (Termasuk PPN)"
"Quantity: ","Kuantitas: "
"Unit Price: ","Harga Unit: "
"May","Mei"
"Aug","Agt"
"Oct","Okt"
"Dec","Des"
"Wrong email.","Email salah."
"Please Ignore %1 characters.","Tolong abaikan %1 karakter."
"Please Ignore {0} characters.","Tolong abaikan {0} karakter."
"Pickup Store","Diambil di Toko"
"Order # %1","Pesanan # %1"
"Search results for: '%1'","Hasil pencarian: '%1'"
"Items in Cart","Produk di Keranjang"
"Please select a region, state or province.","Silakan pilih wilayah, atau provinsi"
"Payment Review","Tinjauan Pembayaran"
"Payment Review on","Tinjauan Pembayaran pada"
"Tinjauan Pembayaran on","Tinjauan Pembayaran pada"
"Pending Payment","Menunggu Pembayaran"
"Pending Payment on","Menunggu Pembayaran di"
"Menunggu Pembayaran on","Menunggu Pembayaran di"
"Picked By Customer","Diambil oleh Pelanggan"
"Picked By Customer on","Diambil oleh Pelanggan pada"
"Diambil oleh Pelanggan on","Diambil Oleh Customer pada"
"Ready to collect order #%increment_id","Pesanan Anda siap diambil #%increment_id"
"Please come to our store and show this email to our cashier.","Silakan datang ke toko kami dan mohon tunjukkan email ini kepada kasir kami."
"Store Location","Lokasi Toko"
"Store Name:","Nama Toko:"
"Store Address:","Alamat Toko:"
"Postal Code:","Kode Pos:"
"Store Phone:","Nomor Telepon Toko:"
"Customer information","Informasi Pelanggan"
"Collected order #%increment_id","Pesanan Anda telah diambil #%increment_id"
"You’ve successfully collected order from our store.","Anda telah sukses mengambil pesanan anda dari toko kami."
"Your Order Is Ready To Be Shipped #%order_id","Pesanan Anda siap dikirim #%order_id"
"You will receive additional email(s) once each item has been ready to be shipped.","Anda akan menerima email setelah setiap produk dikirim."
"Your Order is Ready To Be Shipped","Pesanan Anda Siap Dikirim"
"Your Order is ready to collect","Pesanan Anda Siap Diambil"
"Style","Model"
"Style #","Model #"
"style #","style #"
"Style #:","Model #:"
"style #:","model #:"
"You will receive an email(s) once each item has been shipped.","Anda akan menerima email setelah setiap produk dikirim."
"Got question? Reach us at:","Hubungi Kami:"
"(Shipment %1 of %2)","(Pengiriman %1 dari %2)"
"Shopping cart can not contain both Regular and Pre-Order products.","Catatan: Untuk Pesanan Reguler dan Pre-Order tidak diperbolehkan"
"Notify Me","Ingatkan Saya"
"You will be notified when the item is available.","Anda akan diberikan pengingat apabila item sudah tersedia"
"This product is already subscribed.","Produk ini sudah tersedia."
"My Notifications","Notifikasi Saya"
"My notifications","Notifikasi Saya"
"Pre-order in progress","Pre-Order dalam Proses"
"Please do not forget to take a picture & unboxing video of the goods from all sides. Request without pictures & unboxing videos may not be approved","Mohon jangan lupa untuk mengambil gambar & video unboxing barang dari semua sisi. Permintaan tanpa gambar & video unboxing mungkin tidak disetujui"
